[8708.104722678694, 477.4645064665379]
[10694.059459264521, 981.4162407422133]
[8633.412151905117, 787.9344235181117]
[9337.188007161867, 691.0359186134003]
[8814.571057878664, 651.5881509744141]
[8989.986183741283, 534.9120298715338]
[9038.194833808859, 708.8207057798198]
[8963.367996388135, 587.737716026237]
[8369.864558097888, 468.44059817468127]
[9245.461563590225, 850.7406149061759]
[11464.289612218774, 854.5888552092797]
[9185.295099237377, 629.3011902873902]
[9304.539585004683, 601.2977816221993]
[8798.96673835099, 477.4645064665379]
[9059.765514176464, 762.1277598940088]
[9451.466261289175, 900.3364015657385]
[8992.93239700815, 423.50904307843956]
[10031.824016413475, 893.0089086417795]
[8654.99756572462, 521.8016704605254]
[9915.20695598668, 896.6989519789851]
[9281.488454310349, 821.3292322071148]
[9744.550516884223, 537.0747180970535]
[8684.577021677027, 587.737716026237]
[9277.28540308772, 506.6756785308444]
[9109.533783520836, 566.6861026822324]
[8776.518550849873, 552.0143624719205]
[8361.215908295624, 587.8912210515518]
[9162.150343285239, 959.6890690787368]
